Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Renault KWID RXT,2017,2.9,3.42,28000,Petrol,Individual,Manual,0
Hyundai EON Era,2011,1.6,8.48,57000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2017,6.95,7.86,50000,Diesel,Individual,Manual,0
Maruti Wagon R,2012,2.31,4.32,70000,CNG,Individual,Manual,0
Toyota Corolla Altis,2015,10.5,16.8,60000,Diesel,Individual,Manual,0
Hyundai i20 Sportz,2013,4.0,7.72,70000,Petrol,Individual,Manual,0
Hyundai i20 2015-2017,2016,5.0,8.5,40000,Petrol,Individual,Manual,0
Tata Manza Aqua,2010,1.5,6.48,120000,Diesel,Individual,Manual,1
Mahindra Xylo H4,2016,4.0,10.78,140000,Diesel,Individual,Manual,1
Tata Indigo LS,2010,1.2,6.06,100000,Diesel,Individual,Manual,1
Mahindra Xylo H4,2014,4.8,10.78,120000,Diesel,Individual,Manual,1
Tata Indigo CS,2013,2.0,5.88,120000,Diesel,Individual,Manual,1
Ford Fiesta Classic,2012,3.0,9.27,64000,Diesel,Individual,Manual,1
Maruti Celerio VXI,2015,3.5,5.1,25000,Petrol,Individual,Manual,0
Renault Triber RXT,2019,5.8,5.99,12000,Petrol,Individual,Manual,0
Chevrolet Beat Diesel,2012,2.0,4.09,70000,Diesel,Individual,Manual,1
Mahindra Scorpio Getaway,2016,7.5,12.06,120000,Diesel,Individual,Manual,0
Renault KWID RXT,2016,2.61,3.42,90000,Petrol,Individual,Manual,0
Chevrolet Sail 1.2,2015,3.71,5.76,40000,Petrol,Individual,Manual,0
Mahindra Bolero DI,2010,3.2,8.84,300000,Diesel,Individual,Manual,2
Tata Indigo CS,2012,2.05,5.64,120000,Diesel,Individual,Manual,1
Hyundai Accent GLX,2003,1.1,8.72,90000,Petrol,Individual,Manual,1
Ford Fusion 1.4,2009,1.5,8.82,100000,Diesel,Individual,Manual,3
Mahindra Bolero 2011-2019,2016,6.25,8.66,90000,Diesel,Individual,Manual,1
Mahindra Scorpio 1.99,2017,13.0,12.31,50000,Diesel,Individual,Manual,1
Skoda Octavia Ambition,2015,9.0,28.34,168000,Diesel,Individual,Manual,0
Ford Figo Diesel,2010,1.8,5.93,110000,Diesel,Individual,Manual,1
Mahindra Bolero SLX,2010,4.21,8.57,120000,Diesel,Individual,Manual,1
Tata Indigo CS,2012,2.05,5.64,120000,Diesel,Individual,Manual,1
Honda WR-V i-DTEC,2017,9.0,8.84,40000,Diesel,Individual,Manual,0
Honda City 2017-2020,2006,1.65,12.19,110000,Petrol,Individual,Manual,1
Hyundai i20 Magna,2010,2.7,8.27,100000,Diesel,Individual,Manual,3
Maruti Vitara Brezza,2017,7.5,10.42,40000,Diesel,Individual,Manual,0
Hyundai Elite i20,2019,7.5,8.24,30000,Petrol,Individual,Manual,0
Maruti 800 Std,2002,0.4,2.73,80000,Petrol,Individual,Manual,2
Ford Figo Diesel,2011,1.9,5.93,90000,Diesel,Individual,Manual,1
Toyota Innova 2.5,2009,3.95,14.73,200000,Diesel,Individual,Manual,2
Toyota Fortuner 3.0,2010,8.0,28.18,125000,Diesel,Individual,Manual,1
Hyundai i20 1.2,2011,3.15,7.41,80000,Petrol,Individual,Manual,0
Audi A4 2.0,2014,16.0,38.11,44000,Diesel,Individual,Automatic,1
Toyota Etios GD,2013,4.1,7.2,90000,Diesel,Individual,Manual,0
Hyundai Grand i10,2018,5.8,5.55,32000,Petrol,Individual,Manual,0
Hyundai i20 Sportz,2013,3.4,7.72,70000,Petrol,Individual,Manual,0
Hyundai EON Magna,2015,2.7,8.0,43000,Petrol,Individual,Manual,0
Tata Zest Quadrajet,2017,2.8,6.83,80000,Diesel,Individual,Manual,0
Tata Indica Vista,2012,1.3,4.28,60000,Diesel,Individual,Manual,0
Hyundai EON Era,2014,2.6,7.92,18945,Petrol,Individual,Manual,0
Hyundai Grand i10,2018,7.1,5.5,70000,Diesel,Individual,Manual,0
Maruti Eeco Smiles,2013,2.05,4.25,100000,Petrol,Individual,Manual,2
Datsun GO Plus,2017,3.0,3.75,60000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2009,1.8,7.43,144000,Diesel,Individual,Manual,1
Mahindra TUV 300,2016,7.0,10.9,120000,Diesel,Individual,Manual,0
Hyundai i20 1.4,2012,3.2,7.41,107825,Diesel,Individual,Manual,1
Maruti Alto 800,2020,3.7,3.82,15000,Petrol,Individual,Manual,0
Renault KWID RXT,2018,3.4,3.89,10000,Petrol,Individual,Manual,0
Maruti XL6 Alpha,2019,10.4,12.03,1620,Petrol,Individual,Manual,0
Hyundai i20 Active,2018,7.5,7.64,30000,Diesel,Individual,Manual,0
Mahindra TUV 300,2018,6.0,9.3,70000,Diesel,Individual,Manual,0
Mahindra Bolero 2011-2019,2016,5.5,8.47,70000,Diesel,Individual,Manual,0
Toyota Innova 2.5,2013,6.0,13.27,95000,Diesel,Individual,Manual,1
Tata Tigor 1.05,2017,5.5,5.75,50000,Diesel,Individual,Manual,0
Honda City i,2015,7.5,12.42,160000,Diesel,Individual,Manual,0
Hyundai Santro Magna,2019,4.5,5.45,10000,Petrol,Individual,Manual,0
Maruti Ertiga VDI,2012,4.0,9.82,100000,Diesel,Individual,Manual,2
Maruti Swift VDI,2016,5.2,7.21,50000,Diesel,Individual,Manual,1
Maruti Alto K10,2013,1.99,4.35,60000,Petrol,Individual,Manual,1
Chevrolet Beat Diesel,2012,1.5,4.09,110000,Diesel,Individual,Manual,0
Hyundai i20 Active,2016,5.4,8.19,80000,Diesel,Individual,Manual,2
Maruti SX4 ZDI,2011,2.5,9.92,85000,Diesel,Individual,Manual,1
Maruti Wagon R,2010,2.0,3.9,90000,Petrol,Individual,Manual,1
Tata Indica V2,2011,1.3,3.84,90000,Diesel,Individual,Manual,1
Maruti 800 AC,2007,0.9,2.48,90000,Petrol,Individual,Manual,0
Hyundai Verna 1.6,2012,4.5,8.56,120000,Diesel,Individual,Manual,1
Hyundai Verna CRDi,2009,2.8,9.86,120000,Diesel,Individual,Manual,0
Tata New Safari,2007,2.8,7.28,160000,Diesel,Individual,Manual,1
Maruti Zen LXI,2006,1.2,3.6,141000,Petrol,Individual,Manual,1
Maruti Swift Ldi,2008,2.9,7.28,100000,Diesel,Individual,Manual,1
Hyundai Creta 1.4,2019,10.0,11.16,15000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2012,4.15,7.43,108000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2012,4.15,6.49,108000,Diesel,Individual,Manual,0
Chevrolet Beat Diesel,2015,2.4,4.09,55000,Diesel,Individual,Manual,0
Tata Indica Vista,2010,2.5,3.6,37944,Diesel,Individual,Manual,0
Ford Figo Diesel,2011,1.75,5.57,90400,Diesel,Individual,Manual,0
Hyundai Verna CRDi,2008,2.2,9.11,85000,Diesel,Individual,Manual,1
Maruti Zen D,2003,0.85,3.6,120000,Diesel,Individual,Manual,2
Maruti Swift Dzire,2019,6.75,7.5,5000,Petrol,Individual,Manual,0
Renault Duster 85PS,2016,5.35,9.42,50000,Diesel,Individual,Manual,0
Renault Triber RXZ,2019,6.75,5.57,5000,Petrol,Individual,Manual,0
Maruti Vitara Brezza,2016,8.0,9.04,90000,Diesel,Individual,Manual,0
Maruti Ertiga ZDI,2012,4.25,11.76,96000,Diesel,Individual,Manual,1
Maruti Eeco 5,2011,1.5,4.0,80000,Petrol,Individual,Manual,2
Maruti Zen Estilo,2007,0.9,3.19,60000,Petrol,Individual,Manual,1
Mahindra XUV500 W6,2015,8.5,13.5,90000,Diesel,Individual,Manual,0
Toyota Innova 2.5,2008,3.3,15.75,193623,Diesel,Individual,Manual,1
Hyundai i20 1.4,2017,8.5,7.64,63186,Diesel,Individual,Manual,0
Mahindra Bolero SLX,2008,3.05,8.57,219000,Diesel,Individual,Manual,1
Toyota Innova 2.5,2013,9.1,14.73,110000,Diesel,Individual,Manual,1
Toyota Innova 2.5,2012,11.0,15.6,151000,Diesel,Individual,Manual,0
Maruti Baleno Zeta,2019,6.75,6.85,5000,Petrol,Individual,Automatic,0
Maruti Alto LXi,2010,1.5,3.53,91500,Petrol,Individual,Manual,0
Maruti Swift VDI,2015,5.5,6.94,23000,Diesel,Individual,Manual,0
Volkswagen Vento Diesel,2012,3.5,11.3,40000,Diesel,Individual,Manual,0
Maruti Ritz VDi,2012,3.0,5.31,70000,Diesel,Individual,Manual,0
Toyota Innova Crysta,2018,17.45,14.8,10000,Diesel,Individual,Automatic,0
Mahindra Scorpio 2009-2014,2014,6.11,12.31,90000,Diesel,Individual,Manual,1
Honda Brio S,2016,4.0,5.89,68000,Petrol,Individual,Manual,0
Hyundai Elantra CRDi,2013,7.0,17.15,120000,Diesel,Individual,Manual,0
Chevrolet Sail Hatchback,2013,3.0,5.94,65000,Diesel,Individual,Manual,0
Hyundai Getz GLS,2005,0.65,8.24,85000,Petrol,Individual,Manual,0
Maruti Wagon R,2011,2.0,3.74,94000,Petrol,Individual,Manual,2
Hyundai i20 Asta,2015,6.5,7.33,100000,Diesel,Individual,Manual,0
Hyundai i20 Asta,2015,6.5,7.33,80000,Diesel,Individual,Manual,0
Volkswagen Polo Diesel,2013,3.5,6.71,80000,Diesel,Individual,Manual,2
Tata Indica V2,2011,0.75,3.92,140500,Diesel,Individual,Manual,2
Maruti Swift Dzire,2010,2.4,6.49,143000,Petrol,Individual,Manual,0
Maruti Alto K10,2013,2.4,4.23,60000,Petrol,Individual,Manual,0
Tata Indica Vista,2011,1.8,3.6,120000,Diesel,Individual,Manual,1
Hyundai Santa Fe,2014,9.0,8.4,80000,Diesel,Individual,Automatic,1
Mahindra Thar DI,2014,4.25,14.04,63000,Diesel,Individual,Manual,1
Chevrolet Spark 1.0,2009,0.95,3.4,120000,Petrol,Individual,Manual,2
Maruti Swift Dzire,2018,8.11,6.49,100000,Diesel,Individual,Manual,0
Hyundai Verna VTVT,2018,11.0,9.02,60000,Petrol,Individual,Manual,0
Chevrolet Tavera Neo,2013,6.0,5.58,90000,Diesel,Individual,Manual,0
Maruti Ertiga VDI,2014,5.5,9.82,50000,Diesel,Individual,Manual,1
Mahindra Scorpio S4,2015,7.15,12.18,70000,Diesel,Individual,Manual,0
Mahindra Xylo E8,2010,3.0,11.0,40000,Diesel,Individual,Manual,0
Tata Indigo LS,2006,1.0,6.18,120000,Diesel,Individual,Manual,2
Mahindra Scorpio EX,2013,5.0,11.68,195000,Diesel,Individual,Manual,0
Maruti Wagon R,2013,3.5,4.23,40000,Petrol,Individual,Manual,0
Tata Indica V2,2008,1.0,3.88,40000,Diesel,Individual,Manual,0
Tata Safari DICOR,2012,3.25,13.94,120000,Diesel,Individual,Manual,0
Maruti Wagon R,2012,2.2,4.23,360003,Petrol,Individual,Manual,1
Maruti 800 AC,1999,0.55,2.48,60000,Petrol,Individual,Manual,1
Renault KWID RXT,2016,3.3,3.42,20000,Petrol,Individual,Manual,0
Mahindra Bolero 2011-2019,2014,4.8,8.93,37000,Diesel,Individual,Manual,0
Maruti S-Cross 2017-2020,2018,9.5,8.61,57000,Diesel,Individual,Manual,1
Hyundai Verna Transform,2011,3.0,9.39,110000,Diesel,Individual,Manual,1
Hyundai Verna Xi,2006,1.7,9.02,110000,Petrol,Individual,Manual,3
Toyota Innova 2.5,2013,8.5,15.45,120000,Diesel,Individual,Manual,1
Tata Tigor 2017-2020,2019,9.0,5.98,8079,Diesel,Dealer,Manual,0
Toyota Innova 2.5,2015,13.25,15.45,114368,Diesel,Dealer,Manual,1
Ford Fiesta Classic,2012,3.5,9.27,79990,Diesel,Dealer,Manual,1
Ford Figo Diesel,2012,4.25,5.93,81632,Diesel,Dealer,Manual,0
Ford Aspire Titanium,2016,6.0,6.74,155201,Diesel,Dealer,Manual,0
Ford Ecosport 1.5,2014,7.5,9.83,101504,Diesel,Dealer,Manual,0
Ford Fiesta Classic,2012,4.5,9.27,90165,Diesel,Dealer,Manual,0
Ford Figo Titanium,2010,3.25,5.99,86017,Diesel,Dealer,Manual,1
Mahindra XUV500 W8,2013,9.0,12.92,85036,Diesel,Dealer,Manual,1
Fiat Punto 1.3,2013,3.5,6.11,160254,Diesel,Dealer,Manual,1
Ford EcoSport 1.5,2013,6.0,9.92,125531,Diesel,Dealer,Manual,1
Hyundai Verna VTVT,2019,11.0,9.02,10000,Petrol,Individual,Manual,0
Tata Tiago 1.2,2017,5.2,5.45,20000,Petrol,Individual,Manual,0
Mahindra Scorpio S10,2015,8.85,13.3,170000,Diesel,Individual,Manual,0
Tata Nexon 1.5,2018,9.5,9.08,40000,Diesel,Individual,Automatic,0
Honda City 1.5,2008,2.3,12.08,120000,Petrol,Individual,Manual,1
Maruti Ritz VDi,2013,4.1,5.31,100000,Diesel,Individual,Manual,2
Ford Fiesta EXi,2011,3.0,8.91,110000,Diesel,Individual,Manual,2
Tata Indica V2,2008,1.75,4.12,120000,Diesel,Individual,Manual,2
Maruti Alto LX,2000,1.08,3.85,206000,Petrol,Individual,Manual,3
Maruti Celerio ZXI,2017,4.25,4.64,40000,Petrol,Individual,Manual,1
Chevrolet Optra Magnum,2011,2.72,5.82,170000,Diesel,Individual,Manual,3
Hyundai i10 Magna,2013,3.1,4.89,70000,Petrol,Individual,Manual,0
Hyundai Creta 1.4,2017,11.25,11.4,105000,Diesel,Individual,Manual,0
Hyundai Xcent 1.2,2014,4.5,6.43,46000,Petrol,Individual,Manual,1
Volkswagen Polo Diesel,2011,3.88,5.84,80000,Diesel,Individual,Manual,1
Hyundai Verna Transform,2011,4.0,9.39,60000,Petrol,Individual,Manual,0
Honda City i,2015,7.6,11.85,70000,Diesel,Individual,Manual,2
Maruti Alto LXi,2009,1.2,3.56,90000,Petrol,Individual,Manual,0
Maruti Swift Dzire,2019,7.57,6.49,25000,Diesel,Individual,Manual,0
Maruti Alto 800,2015,2.7,3.92,53000,Petrol,Individual,Manual,1
Tata Sumo MKII,2011,2.5,6.37,90000,Diesel,Individual,Manual,1
Toyota Innova Crysta,2011,8.0,16.75,60000,Diesel,Individual,Manual,0
Toyota Fortuner 4x2,2014,13.8,29.68,150000,Diesel,Individual,Manual,0
Mahindra Thar CRDe,2014,7.0,13.22,24000,Diesel,Individual,Manual,0
Honda Mobilio S,2016,4.5,8.16,100000,Diesel,Individual,Manual,1
Mahindra KUV 100,2018,6.5,5.71,6000,Petrol,Individual,Manual,0
Mahindra XUV500 W8,2013,9.5,12.92,49700,Diesel,Individual,Manual,0
Toyota Innova 2.5,2007,6.26,14.0,80000,Diesel,Individual,Manual,1
Toyota Qualis Fleet,2000,2.0,15.45,100000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2019,6.0,7.35,10000,Petrol,Individual,Automatic,0
Renault KWID RXT,2019,2.9,3.89,21000,Petrol,Individual,Manual,0
Maruti Alto K10,2013,2.15,4.23,25000,Petrol,Individual,Manual,0
Renault KWID RXT,2016,2.5,3.89,22000,Petrol,Individual,Manual,0
Maruti Ertiga SHVS,2017,7.5,11.01,50000,Diesel,Individual,Manual,0
Maruti Alto K10,2016,2.5,4.15,20000,Petrol,Individual,Manual,1
Honda BRV i-VTEC,2017,9.5,9.1,15000,Petrol,Individual,Automatic,0
Ford Figo Aspire,2018,7.93,5.93,30000,Diesel,Individual,Manual,0
Hyundai Creta 1.6,2015,7.5,12.72,74000,Diesel,Individual,Manual,0
Honda Jazz V,2017,7.25,7.35,6550,Petrol,Individual,Automatic,0
Hyundai Grand i10,2016,4.8,5.89,30000,Diesel,Individual,Manual,0
BMW X6 xDrive30d,2013,37.5,58.3,56000,Diesel,Dealer,Automatic,0
Maruti Swift Dzire,2018,7.95,7.28,41779,Petrol,Dealer,Manual,0
Honda Jazz 1.2,2016,6.25,6.97,54000,Petrol,Dealer,Manual,0
Mercedes-Benz E-Class E250,2016,29.0,61.8,31000,Diesel,Dealer,Automatic,0
Maruti Ignis 1.3,2017,6.25,4.97,37000,Diesel,Individual,Automatic,0
Chevrolet Cruze LTZ,2011,4.4,14.28,90000,Diesel,Individual,Automatic,1
Toyota Corolla Altis,2018,14.0,16.8,13534,Petrol,Dealer,Manual,0
Toyota Corolla Altis,2017,14.5,17.68,7000,Petrol,Dealer,Automatic,1
Mercedes-Benz GLA Class,2017,27.0,62.4,23000,Diesel,Dealer,Automatic,0
Toyota Innova Crysta,2019,19.25,15.77,43000,Diesel,Dealer,Automatic,0
Kia Seltos HTX,2020,19.0,11.76,5000,Diesel,Dealer,Automatic,0
Maruti Ciaz RS,2017,8.45,10.54,70000,Diesel,Dealer,Manual,0
Skoda Rapid 1.5,2016,6.5,11.76,99000,Diesel,Dealer,Automatic,0
Maruti Swift ZXI,2018,7.5,6.8,15000,Petrol,Dealer,Manual,0
BMW 6 Series,2018,60.0,49.5,28156,Diesel,Dealer,Automatic,0
Honda Jazz 1.2,2015,6.1,6.75,30000,Petrol,Dealer,Manual,0
Toyota Fortuner 2.8,2018,29.4,26.98,100000,Diesel,Dealer,Automatic,0
Hyundai Creta 1.6,2017,11.5,11.52,63309,Diesel,Dealer,Manual,0
Toyota Innova Crysta,2016,18.25,15.28,94000,Diesel,Dealer,Automatic,0
Hyundai Elite i20,2018,8.9,7.2,29000,Petrol,Dealer,Automatic,0
Jaguar XE 2016-2019,2017,26.25,69.0,9000,Diesel,Dealer,Automatic,0
Lexus ES 300h,2019,51.5,8.32,20000,Petrol,Dealer,Automatic,0
Jaguar XF 2.0,2017,32.0,63.48,45000,Diesel,Dealer,Automatic,0
Tata Safari Storme,2015,5.03,16.11,110000,Diesel,Individual,Manual,0
Volvo XC40 D4,2019,38.0,47.25,20000,Diesel,Individual,Automatic,0
Toyota Camry 2.5,2016,20.0,39.88,68089,Petrol,Dealer,Automatic,0
Maruti Wagon R,2013,2.25,4.07,58343,Petrol,Dealer,Manual,0
Maruti Baleno Alpha,2018,7.4,6.85,38817,Diesel,Dealer,Manual,0
Honda Jazz VX,2016,5.5,7.88,56494,Petrol,Dealer,Manual,0
Toyota Innova 2.5,2013,7.5,14.73,79328,Diesel,Dealer,Manual,1
Maruti Swift AMT,2019,6.5,6.18,5621,Petrol,Dealer,Automatic,0
Toyota Etios VX,2017,6.25,8.1,25538,Petrol,Dealer,Manual,0
Maruti Swift AMT,2018,6.0,6.32,69779,Petrol,Dealer,Automatic,0
Hyundai Grand i10,2017,4.5,5.83,56290,Diesel,Dealer,Manual,0
BMW X4 M,2019,54.0,49.5,7500,Diesel,Dealer,Automatic,0
BMW X4 M,2019,55.0,49.5,8500,Diesel,Dealer,Automatic,0
Honda Amaze V,2019,7.79,6.96,7032,Petrol,Dealer,Automatic,0
Skoda Rapid 1.6,2016,6.45,10.99,11000,Petrol,Dealer,Automatic,0
Volvo V40 D3,2018,24.75,45.45,2000,Diesel,Dealer,Automatic,0
Jaguar XE 2016-2019,2017,26.25,69.0,9000,Diesel,Dealer,Automatic,0
Lexus ES 300h,2019,51.5,8.32,20000,Petrol,Dealer,Automatic,0
Jaguar XF 2.0,2017,32.0,63.48,45000,Diesel,Dealer,Automatic,0
Tata Safari Storme,2015,5.03,16.11,110000,Diesel,Individual,Manual,0
Volvo XC40 D4,2019,38.0,47.25,20000,Diesel,Individual,Automatic,0
Toyota Camry 2.5,2016,20.0,39.88,68089,Petrol,Dealer,Automatic,0
Maruti Wagon R,2013,2.25,4.07,58343,Petrol,Dealer,Manual,0
Maruti Baleno Alpha,2018,7.4,6.85,38817,Diesel,Dealer,Manual,0
Honda Jazz VX,2016,5.5,7.88,56494,Petrol,Dealer,Manual,0
Toyota Innova 2.5,2013,7.5,14.73,79328,Diesel,Dealer,Manual,1
Maruti Swift AMT,2019,6.5,6.18,5621,Petrol,Dealer,Automatic,0
Toyota Etios VX,2017,6.25,8.1,25538,Petrol,Dealer,Manual,0
Maruti Swift AMT,2018,6.0,6.32,69779,Petrol,Dealer,Automatic,0
Hyundai Grand i10,2017,4.5,5.83,56290,Diesel,Dealer,Manual,0
BMW X4 M,2019,54.0,49.5,7500,Diesel,Dealer,Automatic,0
BMW X4 M,2019,55.0,49.5,8500,Diesel,Dealer,Automatic,0
Honda Amaze V,2019,7.79,6.96,7032,Petrol,Dealer,Automatic,0
Skoda Rapid 1.6,2016,6.45,10.99,11000,Petrol,Dealer,Automatic,0
Volvo V40 D3,2018,24.75,45.45,2000,Diesel,Dealer,Automatic,0
Jaguar XE 2016-2019,2017,26.25,69.0,9000,Diesel,Dealer,Automatic,0
Lexus ES 300h,2019,51.5,8.32,20000,Petrol,Dealer,Automatic,0
Jaguar XF 2.0,2017,32.0,63.48,45000,Diesel,Dealer,Automatic,0
Tata Safari Storme,2015,5.03,16.11,110000,Diesel,Individual,Manual,0
Volvo XC40 D4,2019,38.0,47.25,20000,Diesel,Individual,Automatic,0
Toyota Camry 2.5,2016,20.0,39.88,68089,Petrol,Dealer,Automatic,0
Maruti Wagon R,2013,2.25,4.07,58343,Petrol,Dealer,Manual,0
Maruti Baleno Alpha,2018,7.4,6.85,38817,Diesel,Dealer,Manual,0
Honda Jazz VX,2016,5.5,7.88,56494,Petrol,Dealer,Manual,0
Toyota Innova 2.5,2013,7.5,14.73,79328,Diesel,Dealer,Manual,1
Maruti Swift AMT,2019,6.5,6.18,5621,Petrol,Dealer,Automatic,0
Toyota Etios VX,2017,6.25,8.1,25538,Petrol,Dealer,Manual,0
Maruti Swift AMT,2018,6.0,6.32,69779,Petrol,Dealer,Automatic,0
Hyundai Grand i10,2017,4.5,5.83,56290,Diesel,Dealer,Manual,0
BMW X4 M,2019,54.0,49.5,7500,Diesel,Dealer,Automatic,0
BMW X4 M,2019,55.0,49.5,8500,Diesel,Dealer,Automatic,0
Honda Amaze V,2019,7.79,6.96,7032,Petrol,Dealer,Automatic,0
Skoda Rapid 1.6,2016,6.45,10.99,11000,Petrol,Dealer,Automatic,0
Volvo V40 D3,2018,24.75,45.45,2000,Diesel,Dealer,Automatic,0
Jaguar XE 2016-2019,2017,26.25,69.0,9000,Diesel,Dealer,Automatic,0
Lexus ES 300h,2019,51.5,8.32,20000,Petrol,Dealer,Automatic,0
Jaguar XF 2.0,2017,32.0,63.48,45000,Diesel,Dealer,Automatic,0
Tata Safari Storme,2015,5.03,16.11,110000,Diesel,Individual,Manual,0
Volvo XC40 D4,2019,38.0,47.25,20000,Diesel,Individual,Automatic,0
Toyota Camry 2.5,2016,20.0,39.88,68089,Petrol,Dealer,Automatic,0
Maruti Wagon R,2013,2.25,4.07,58343,Petrol,Dealer,Manual,0
Maruti Baleno Alpha,2018,7.4,6.85,38817,Diesel,Dealer,Manual,0
Honda Jazz VX,2016,5.5,7.88,56494,Petrol,Dealer,Manual,0
Toyota Innova 2.5,2013,7.5,14.73,79328,Diesel,Dealer,Manual,1
Maruti Swift AMT,2019,6.5,6.18,5621,Petrol,Dealer,Automatic,0
Toyota Etios VX,2017,6.25,8.1,25538,Petrol,Dealer,Manual,0
Maruti Swift AMT,2018,6.0,6.32,69779,Petrol,Dealer,Automatic,0
Hyundai Grand i10,2017,4.5,5.83,56290,Diesel,Dealer,Manual,0
BMW X4 M,2019,54.0,49.5,7500,Diesel,Dealer,Automatic,0
BMW X4 M,2019,55.0,49.5,8500,Diesel,Dealer,Automatic,0
Honda Amaze V,2019,7.79,6.96,7032,Petrol,Dealer,Automatic,0
Skoda Rapid 1.6,2016,6.45,10.99,11000,Petrol,Dealer,Automatic,0
Volvo V40 D3,2018,24.75,45.45,2000,Diesel,Dealer,Automatic,0
Tata Indigo CS,2017,3.85,5.94,155000,Diesel,Individual,Manual,0
Maruti Celerio ZXI,2016,4.0,4.69,35000,Petrol,Individual,Automatic,0
Hyundai Grand i10,2018,5.5,5.22,50000,Diesel,Individual,Manual,0
Chevrolet Tavera Neo,2010,2.7,6.06,185000,Diesel,Individual,Manual,0
Tata Indigo CS,2013,2.0,6.06,175000,Diesel,Individual,Manual,1
Renault KWID RXT,2016,3.1,3.89,11500,Petrol,Individual,Manual,0
Hyundai Xcent 1.2,2019,7.0,6.89,3000,Diesel,Individual,Manual,0
Chevrolet Sail LT,2015,4.8,6.54,80000,Diesel,Individual,Manual,1
Maruti Alto LXI,2005,0.9,3.74,40000,Petrol,Individual,Manual,1
Maruti Alto LXI,2005,0.8,3.74,40000,Petrol,Individual,Manual,1
Maruti Ritz VDi,2015,3.5,5.31,90000,Diesel,Individual,Manual,0
Maruti SX4 S,2017,6.0,9.83,100000,Diesel,Individual,Manual,0
Mahindra Scorpio M2DI,2011,3.5,11.68,120000,Diesel,Individual,Manual,2
Maruti Vitara Brezza,2018,7.7,9.04,50000,Diesel,Individual,Manual,0
Mahindra Verito 1.5,2012,3.5,9.36,25000,Diesel,Individual,Manual,0
Mahindra Scorpio VLX,2011,6.0,12.43,50000,Diesel,Individual,Manual,2
Mahindra TUV 300,2016,7.5,9.2,71000,Diesel,Individual,Manual,0
Maruti Wagon R,2016,3.4,3.74,40000,Petrol,Individual,Manual,0
Hyundai Elite i20,2018,6.5,8.4,31800,Petrol,Individual,Manual,0
Hyundai i10 Sportz,2014,3.0,4.98,65000,Petrol,Individual,Manual,0
Maruti Alto 800,2014,2.05,3.74,15000,Petrol,Individual,Manual,1
Mahindra Verito 1.5,2012,2.55,8.1,70000,Diesel,Individual,Manual,1
Ford Figo Aspire,2017,6.5,5.39,5000,Petrol,Individual,Manual,0
Hyundai EON Magna,2017,2.8,8.0,50000,Petrol,Individual,Manual,1
Tata Indica V2,2011,1.0,3.64,80000,Diesel,Individual,Manual,0
Chevrolet Tavera Neo,2014,5.75,6.3,70000,Diesel,Individual,Manual,1
Maruti Vitara Brezza,2017,7.8,10.42,40000,Diesel,Individual,Manual,0
Mahindra Bolero 2011-2019,2013,4.67,8.47,157000,Diesel,Individual,Manual,0
Mahindra Scorpio S10,2015,10.5,13.3,90000,Diesel,Individual,Manual,0
Hyundai i10 Magna,2011,2.25,4.89,80000,Petrol,Individual,Manual,1
Hyundai Santro GLS,2004,0.9,5.45,90000,Petrol,Individual,Manual,2
Hyundai Santro Xing,2004,0.8,5.3,80000,Petrol,Individual,Automatic,2
Toyota Etios Liva,2012,3.0,7.42,80000,Diesel,Individual,Manual,0
Mahindra Verito 1.5,2012,2.6,9.27,70000,Diesel,Individual,Manual,1
Chevrolet Spark 1.0,2009,0.9,3.71,50000,Petrol,Individual,Manual,1
Ford Figo Diesel,2012,2.8,5.93,60000,Diesel,Individual,Manual,0
Mahindra Verito 1.5,2014,3.5,8.1,106000,Diesel,Individual,Manual,1
Mahindra Scorpio 2.6,2006,2.3,11.93,80000,Diesel,Individual,Manual,1
Mahindra Bolero 2011-2019,2016,5.5,9.58,80000,Diesel,Individual,Manual,1
Toyota Innova 2.5,2013,8.5,14.29,110000,Diesel,Individual,Manual,1
Mahindra Bolero DI,2011,3.7,8.38,120000,Diesel,Individual,Manual,2
Maruti Alto K10,2013,2.5,3.59,27000,Petrol,Individual,Manual,0
Maruti Alto LXi,2007,0.95,3.56,70000,Petrol,Individual,Manual,1
Maruti Wagon R,2010,1.8,3.9,70000,Petrol,Individual,Manual,1
Mahindra NuvoSport N8,2016,6.5,10.4,50000,Diesel,Individual,Automatic,0
Hyundai Xcent 1.2,2018,5.3,6.37,60000,Diesel,Individual,Manual,0
Maruti Swift VVT,2017,6.1,7.08,15000,Petrol,Individual,Manual,0
Maruti Zen Estilo,2011,2.0,3.29,40000,Petrol,Individual,Manual,0
Mahindra Xylo E4,2010,2.65,11.22,135000,Diesel,Individual,Manual,0
Tata Tiago 1.2,2018,5.6,5.02,26300,Petrol,Individual,Manual,0
Mahindra Bolero 2011-2019,2014,4.3,8.66,120000,Diesel,Individual,Manual,0
Maruti Swift Dzire,2017,7.11,6.49,35000,Diesel,Individual,Manual,0
